Property Address,Property Name,Building Class,Star Rating,Energy Star,LEED Certified,Building Status,Number Of Units,Style,RBA,Secondary Type,Market Name,Submarket Name,City,State,Zip,County Name,For Sale Price,For Sale Status,Year Built,Year Renovated,Number Of Stories,$Price/Unit,Cap Rate,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Asking/SF,Avg Effective/Unit,Avg Effective/SF,Avg Concessions %,% Studios,% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,Rent Type,Affordable Type,Market Segment,Parking Spaces/Unit,Number Of Parking Spaces,Days On Market,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,One Bedroom Asking Rent/Bed,One Bedroom Asking Rent/SF,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,One Bedroom Concessions %,One Bedroom Effective Rent/Bed,One Bedroom Effective Rent/SF,One Bedroom Effective Rent/Unit,One Bedroom Vacancy %,One Bedroom Vacant Units,Two Bedroom Asking Rent/Bed,Two Bedroom Asking Rent/SF,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Two Bedroom Concessions %,Two Bedroom Effective Rent/Bed,Two Bedroom Effective Rent/SF,Two Bedroom Effective Rent/Unit,Two Bedroom Vacancy %,Two Bedroom Vacant Units,Three Bedroom Asking Rent/Bed,Three Bedroom Asking Rent/SF,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Three Bedroom Concessions %,Three Bedroom Effective Rent/Bed,Three Bedroom Effective Rent/SF,Three Bedroom Effective Rent/Unit,Three Bedroom Vacancy %,Three Bedroom Vacant Units,Four Bedroom Asking Rent/Bed,Four Bedroom Asking Rent/SF,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF,Four Bedroom Concessions %,Four Bedroom Effective Rent/Bed,Four Bedroom Effective Rent/SF,Four Bedroom Effective Rent/Unit,Four Bedroom Vacancy %,Four Bedroom Vacant Units,Longitude,Latitude
3430 Sunset Ave,Wellongate Apartments,B,3,,,Existing,131,Garden,116904,Apartments,North Carolina East,Rocky Mount/Wilson,Rocky Mount,NC,27804,Nash,,N,1970,1999,2,,,0.1,889.00,832,0.93,830,0.93,0.30,,6.06,69.70,24.24,,Market,,All,,,0,8,92,31,,701,1.07,701,657,0.20,699,1.06,699,0.00,0,401,0.93,801,863,0.30,400,0.93,799,0.00,0,317,0.93,951,1025,0.30,316,0.93,949,0.00,0,,,,,,,,,,,-77.8472305,35.9649127
3741 Sunset Ave,Westridge Village,B,3,,,Existing,48,Garden,63600,Apartments,North Carolina East,,Rocky Mount,NC,27804-3336,Nash,,N,,,2,,,0.2,"1,325.00",838,0.63,836,0.63,0.30,,,,100.00,,Market,,All,,,0,,,48,,,,,,,,,,,,,,,,,,,,,,279,0.63,838,1325,0.30,279,0.63,836,0.00,0,,,,,,,,,,,-77.8560502,35.9636468
107 N Wheeless Dr,Hampton Village,B,3,,,Existing,120,Garden,113400,Apartments,North Carolina East,,Nashville,NC,27856-1834,Nash,,N,1999,,2,,,0.2,735.00,703,0.96,702,0.95,0.30,,20.00,76.67,3.33,,Market,,All,,,0,24,92,4,,648,1.05,648,619,0.30,646,1.04,646,0.00,0,354,0.95,709,745,0.30,354,0.95,707,0.00,0,304,0.76,913,1200,0.20,304,0.76,911,0.00,0,,,,,,,,,,,-77.9525376,35.9738902
237 S Winstead Ave,Tau Valley,B,3,,,Existing,155,Garden,193290,Apartments,North Carolina East,Rocky Mount/Wilson,Rocky Mount,NC,27804-3426,Nash,,N,1978,,2,,,2.7,"1,094.00","1,113",1.02,"1,108",1.01,0.50,,23.87,52.26,23.87,,Market,,All,,,0,37,81,37,,936,1.22,936,770,0.50,932,1.21,932,2.70,1,523,0.96,"1,046",1085,0.50,521,0.96,"1,041",2.50,2,479,1.00,"1,438",1438,0.50,477,1.00,"1,431",2.70,1,,,,,,,,,,,-77.8481974,35.9607848
1101 S Brake St,Richardson Court Apartments,B,3,,,Existing,50,Low-Rise,9436,Apartments,Rocky Mount,,Nashville,NC,27856-1670,Nash,,N,,,2,,,1.9,,,,,,0.00,,100.00,,,,Market,,All,,,0,50,,,,,,,,,,,,2.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.9623084,35.9609295
1100 Crescent Meadows Dr,Cottages at Cross Creek,B,3,,,Existing,36,Garden,43236,Apartments,North Carolina East,Rocky Mount/Wilson,Nashville,NC,27856-7710,Nash,,N,2007,,1,,,11.0,,972,,962,,1.00,,,,100.00,,Market,,All,,,0,,,36,,,,,,,,,,,,,,,,,,,,,,324,,972,,1.00,321,,962,11.10,4,,,,,,,,,,,-77.936889,35.9547186
4206 Cypress Dr NW,,B,3,,,Existing,2,Low-Rise,2422,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27896-7615,Wilson,,N,2000,,1,,,6.5,,,,,,0.00,,,,,,Market,,All,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.9686906,35.756167
1301-1323 Leggett Rd,New Rockwood Place,B,3,,,Existing,50,Garden,42761,Apartments,North Carolina East,Rocky Mount/Wilson,Rocky Mount,NC,27801-2600,Edgecombe,,N,1969,2017,1,,,2.0,835.00,764,0.92,764,0.92,0.00,,,48.00,52.00,,Market,,All,2.00,100,0,,24,26,,,,,,,,,,,,376,1.00,751,754,0.00,376,1.00,751,0.00,0,259,0.85,776,910,0.00,259,0.85,776,3.90,1,,,,,,,,,,,-77.7711886,35.9600961
225 N Mayo St,,B,3,,,Existing,8,Low-Rise,7995,Apartments,North Carolina East,,Rocky Mount,NC,27804-4553,Nash,,N,,,1,,,1.9,646.00,,,,,0.00,,100.00,,,,Market,,All,,,0,8,,,,,,,646,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.8110098,35.9484318
3300 Sunset Ave,,B,3,,,Existing,8,Low-Rise,5120,Apartments,North Carolina East,,Rocky Mount,NC,27804-3583,Nash,,N,2018,,2,,,11.2,835.00,,,,,0.00,,37.50,62.50,,,Market,,All,,,0,3,5,,,,,,646,,,,,0.00,0,,,,949,,,,,20.00,1,,,,,,,,,,,,,,,,,,,,,-77.8430751,35.9638019
114-124 N Wheeless Dr,Stony Creek Apartments,B,3,,,Existing,48,Low-Rise,56922,Apartments,North Carolina East,Rocky Mount/Wilson,Nashville,NC,27856-1825,Nash,,N,2002,,3,,,0.5,881.00,690,0.78,688,0.78,0.30,,50.00,50.00,,,Market,,All,,,0,24,24,,,637,0.88,637,726,0.30,635,0.87,635,0.00,0,371,0.72,743,1036,0.30,370,0.72,741,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.9531202,35.972653
